Название фильма,Страны,Режиссер,Жанр,Год
Баллада о дереве и розе,Чехословакия,Ладислав Рихман,"драма, мелодрама",1978
Баллада о Джеке и Роуз,США,Ребекка Миллер,Драма,2005
Баллада о доблестном рыцаре Айвенго,СССР,Сергей Тарасов,приключенческий фильм,1982
Баллада о комиссаре,СССР,Александр Сурин,драма,1967
Баллада о Кэйбле Хоге,США,Сэм Пекинпа,"драма, мелодрама, комедия, вестерн",1970
Баллада о маленькой Джо,США,Мэгги Гринвальд,вестерн,1993
Баллада о маленьком солдате,ФРГ,Вернер ХерцогДенис Райхле,документальный фильм,1984
Баллада о солдате,СССР,Григорий Чухрай,Военный фильм Мелодрама,1959
Баллада о старом оружии,СССР,Геннадий Воронин,драма приключенческий фильм,1986
Баллада о трубе и облаке,Югославия,Франце Штиглиц,драма,1961
Баллада об Орин,Япония,Масахиро Синода,фильм-драма,1977
Балладина,Польша,Дариуш Зависьляк,Фильм преступностью,"2008, / 2009"
Баллистика: Экс против Сивер,США Германия,Вич Каосаянанда,Боевикфантастикаприключения,2002
